source_lang,target_lang,filename,error_type,error_details
java,python,atcoder_ABC133_E.py,Runtime Error,"Test Index: 21 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/avatar/algo_based_translation/java/python/atcoder_ABC133_E.py"", line 50, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/avatar/algo_based_translation/java/python/atcoder_ABC133_E.py"", line 40, in main
    nodes[0].setParent(K, -1, 0, nodes)
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/avatar/algo_based_translation/java/python/atcoder_ABC133_E.py"", line 21, in setParent
    nodes[n].setParent(K, self.index, count, nodes)
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/avatar/algo_based_translation/java/python/atcoder_ABC133_E.py"", line 21, in setParent
    nodes[n].setParent(K, self.index, count, nodes)
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/avatar/algo_based_translation/java/python/atcoder_ABC133_E.py"", line 21, in setParent
    nodes[n].setParent(K, self.index, count, nodes)
  [Previous line repeated 995 more times]
RecursionError: maximum recursion depth exceeded
"
java,python,atcoder_ABC171_B.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/avatar/algo_based_translation/java/python/atcoder_ABC171_B.py"", line 3, in <module>
    from io import BufferedReader, InputStreamReader
ImportError: cannot import name 'InputStreamReader' from 'io' (/usr/lib/python3.12/io.py)
"
java,python,atcoder_AGC006_B.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/avatar/algo_based_translation/java/python/atcoder_AGC006_B.py"", line 26, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/avatar/algo_based_translation/java/python/atcoder_AGC006_B.py"", line 5, in main
    n = int(input())
        ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '2 1'
"
java,python,atcoder_ABC147_D.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/avatar/algo_based_translation/java/python/atcoder_ABC147_D.py"", line 29, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/avatar/algo_based_translation/java/python/atcoder_ABC147_D.py"", line 5, in main
    start_time = sys.time()
                 ^^^^^^^^
AttributeError: module 'sys' has no attribute 'time'
"
java,python,atcoder_ABC148_F.py,Runtime Error,"Test Index: 3 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/avatar/algo_based_translation/java/python/atcoder_ABC148_F.py"", line 46, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/avatar/algo_based_translation/java/python/atcoder_ABC148_F.py"", line 28, in main
    dfs(u, d, edges)
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/avatar/algo_based_translation/java/python/atcoder_ABC148_F.py"", line 9, in dfs
    dfs(nu, d, edges)
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/avatar/algo_based_translation/java/python/atcoder_ABC148_F.py"", line 9, in dfs
    dfs(nu, d, edges)
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/avatar/algo_based_translation/java/python/atcoder_ABC148_F.py"", line 9, in dfs
    dfs(nu, d, edges)
  [Previous line repeated 995 more times]
RecursionError: maximum recursion depth exceeded
"
java,python,atcoder_ABC168_C.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/avatar/algo_based_translation/java/python/atcoder_ABC168_C.py"", line 35, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/avatar/algo_based_translation/java/python/atcoder_ABC168_C.py"", line 6, in main
    A = int(input())
        ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '3 4 10 40'
"
java,python,codeforces_612_B.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/avatar/algo_based_translation/java/python/codeforces_612_B.py"", line 16, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/avatar/algo_based_translation/java/python/codeforces_612_B.py"", line 8, in main
    num = int(sys.stdin.readline())
          ^^^^^^^^^^^^^^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 7
"
java,python,atcoder_ABC112_A.py,Runtime Error,"Test Index: 1 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/avatar/algo_based_translation/java/python/atcoder_ABC112_A.py"", line 28, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/avatar/algo_based_translation/java/python/atcoder_ABC112_A.py"", line 10, in main
    strs = read(2)
           ^^^^^^^
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/avatar/algo_based_translation/java/python/atcoder_ABC112_A.py"", line 16, in read
    if br is None:
       ^^
NameError: name 'br' is not defined
"
java,python,codeforces_456_A.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/avatar/algo_based_translation/java/python/codeforces_456_A.py"", line 47, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/avatar/algo_based_translation/java/python/codeforces_456_A.py"", line 11, in main
    a.append(int(data[index]))
             ^^^^^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '3679...'
"
java,python,codeforces_653_A.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/avatar/algo_based_translation/java/python/codeforces_653_A.py"", line 22, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/avatar/algo_based_translation/java/python/codeforces_653_A.py"", line 8, in main
    value = int(sys.stdin.readline().strip())
            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '399 400 398'
"
