source_lang,target_lang,filename,error_type,error_details
java,python,s685537842.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/codenet/direct_translation/java/python/s685537842.py"", line 2, in <module>
    a = int(input())
        ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '3 5 7'
"
java,python,s575985145.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/codenet/direct_translation/java/python/s575985145.py"", line 19, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/codenet/direct_translation/java/python/s575985145.py"", line 7, in main
    id = int(input())
         ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '1 2 2 4'
"
java,python,s998094687.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/codenet/direct_translation/java/python/s998094687.py"", line 6, in <module>
    a[0] = int(input())
           ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '4 3 5'
"
java,python,s490798303.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/codenet/direct_translation/java/python/s490798303.py"", line 9, in <module>
    person = int(input())
             ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '1 3'
"
java,python,s428436430.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/codenet/direct_translation/java/python/s428436430.py"", line 23, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/codenet/direct_translation/java/python/s428436430.py"", line 9, in main
    arr.append(int(input()))
               ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '3 5 2 7'
"
java,python,s063482767.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/codenet/direct_translation/java/python/s063482767.py"", line 7, in <module>
    heapq.heappush(queue, int(input()))
                          ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '3 8 5 1'
"
java,python,s648025110.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/codenet/direct_translation/java/python/s648025110.py"", line 2, in <module>
    h = [int(input()) for _ in range(n)]
         ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '1 2 2 1'
"
java,python,s301480578.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/codenet/direct_translation/java/python/s301480578.py"", line 2, in <module>
    h = [int(input()) for _ in range(n)]
         ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '10 4 8 7 3'
"
java,python,s545439898.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/codenet/direct_translation/java/python/s545439898.py"", line 3, in <module>
    giving_number = [int(input()) for _ in range(count)]
                     ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '1 2 3 4 5'
"
java,python,s818271374.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/codenet/direct_translation/java/python/s818271374.py"", line 6, in <module>
    a = int(input())
        ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '1 10 100'
"
java,python,s798589501.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/codenet/direct_translation/java/python/s798589501.py"", line 4, in <module>
    E = int(input())
        ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '0 2015'
"
