source_lang,target_lang,filename,error_type,error_details
python,java,s790754864.java,Runtime Error,"Error: Error: Could not find or load main class s790754864
Caused by: java.lang.ClassNotFoundException: s790754864
"
python,java,s316832655.java,Runtime Error,"Error: Error: Could not find or load main class s316832655
Caused by: java.lang.ClassNotFoundException: s316832655
"
python,java,s813548165.java,Runtime Error,"Error: Error: Could not find or load main class s813548165
Caused by: java.lang.ClassNotFoundException: s813548165
"
python,java,s763208424.java,Runtime Error,"Error: Error: Could not find or load main class s763208424
Caused by: java.lang.ClassNotFoundException: s763208424
"
python,java,s733189960.java,Runtime Error,"Error: Error: Could not find or load main class s733189960
Caused by: java.lang.ClassNotFoundException: s733189960
"
python,java,s681170949.java,Runtime Error,"Error: Error: Could not find or load main class s681170949
Caused by: java.lang.ClassNotFoundException: s681170949
"
python,java,s764169243.java,Runtime Error,"Error: Error: Could not find or load main class s764169243
Caused by: java.lang.ClassNotFoundException: s764169243
"
python,java,s246280701.java,Runtime Error,"Error: Error: Could not find or load main class s246280701
Caused by: java.lang.ClassNotFoundException: s246280701
"
python,java,s087080706.java,Runtime Error,"Error: Exception in thread ""main"" java.util.NoSuchElementException
	at java.base/java.util.Scanner.throwFor(Scanner.java:962)
	at java.base/java.util.Scanner.next(Scanner.java:1619)
	at java.base/java.util.Scanner.nextInt(Scanner.java:2284)
	at java.base/java.util.Scanner.nextInt(Scanner.java:2238)
	at s087080706.main(s087080706.java:12)
"
python,java,s546174362.java,Runtime Error,"Error: Error: Could not find or load main class s546174362
Caused by: java.lang.ClassNotFoundException: s546174362
"
python,java,s398580870.java,Runtime Error,"Error: Error: Could not find or load main class s398580870
Caused by: java.lang.ClassNotFoundException: s398580870
"
python,java,s007458552.java,Runtime Error,"Error: Error: Could not find or load main class s007458552
Caused by: java.lang.ClassNotFoundException: s007458552
"
python,java,s922746568.java,Runtime Error,"Error: Error: Could not find or load main class s922746568
Caused by: java.lang.ClassNotFoundException: s922746568
"
