source_lang,target_lang,filename,error_type,error_details
java,python,atcoder_ABC134_E.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/avatar/algo_based_translation/java/python/atcoder_ABC134_E.py"", line 4, in <module>
    from sortedcontainers import SortedDict
ModuleNotFoundError: No module named 'sortedcontainers'
"
java,python,atcoder_ABC140_F.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/avatar/algo_based_translation/java/python/atcoder_ABC140_F.py"", line 33, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/avatar/algo_based_translation/java/python/atcoder_ABC140_F.py"", line 12, in main
    S[i] = int(sc.readline().strip())
           ^^^^^^^^^^^^^^^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '8443 8443 8443 8443 8443 280902927 8443 486981654 8443 827851807 8443 8443 732460141 8443 8443 490580693 263596475 350127941 8443 8443 8443 8443 8443 8443 8443 8443 8443 370250195 8443 8443 8443 8443
"
java,python,atcoder_ABC118_C.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/avatar/algo_based_translation/java/python/atcoder_ABC118_C.py"", line 49, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/avatar/algo_based_translation/java/python/atcoder_ABC118_C.py"", line 31, in main
    a.append(int(input().strip()))
             ^^^^^^^^^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '5 13 8 1000000000'
"
java,python,atcoder_ABC125_A.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/avatar/algo_based_translation/java/python/atcoder_ABC125_A.py"", line 19, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/avatar/algo_based_translation/java/python/atcoder_ABC125_A.py"", line 6, in main
    sec = int(sc.readline().strip())
          ^^^^^^^^^^^^^^^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '3 2 9'
"
java,python,atcoder_AGC002_A.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/avatar/algo_based_translation/java/python/atcoder_AGC002_A.py"", line 18, in <module>
    atcoder_AGC002_A()
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/avatar/algo_based_translation/java/python/atcoder_AGC002_A.py"", line 5, in atcoder_AGC002_A
    a = int(sys.stdin.readline().strip())
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '1 10'
"
java,python,codeforces_296_A.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/avatar/algo_based_translation/java/python/codeforces_296_A.py"", line 60, in <module>
    solve(in_reader, out_writer)
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/avatar/algo_based_translation/java/python/codeforces_296_A.py"", line 38, in solve
    index = in_reader.nextInt()
            ^^^^^^^^^^^^^^^^^^^
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/avatar/algo_based_translation/java/python/codeforces_296_A.py"", line 19, in nextInt
    return int(self.next())
               ^^^^^^^^^^^
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/avatar/algo_based_translation/java/python/codeforces_296_A.py"", line 16, in next
    return next(self.tokenizer)
           ^^^^^^^^^^^^^^^^^^^^
StopIteration
"
java,python,codeforces_92_A.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/avatar/algo_based_translation/java/python/codeforces_92_A.py"", line 28, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/avatar/algo_based_translation/java/python/codeforces_92_A.py"", line 6, in main
    n = int(scn.readline().strip())
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '29 7772'
"
java,python,atcoder_ABC148_F.py,Runtime Error,"Test Index: 3 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/avatar/algo_based_translation/java/python/atcoder_ABC148_F.py"", line 48, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/avatar/algo_based_translation/java/python/atcoder_ABC148_F.py"", line 30, in main
    dfs(u, d, edges)
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/avatar/algo_based_translation/java/python/atcoder_ABC148_F.py"", line 9, in dfs
    dfs(nu, d, edges)
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/avatar/algo_based_translation/java/python/atcoder_ABC148_F.py"", line 9, in dfs
    dfs(nu, d, edges)
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/avatar/algo_based_translation/java/python/atcoder_ABC148_F.py"", line 9, in dfs
    dfs(nu, d, edges)
  [Previous line repeated 995 more times]
RecursionError: maximum recursion depth exceeded
"
java,python,atcoder_ABC168_C.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/avatar/algo_based_translation/java/python/atcoder_ABC168_C.py"", line 38, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/avatar/algo_based_translation/java/python/atcoder_ABC168_C.py"", line 9, in main
    A = int(input())
        ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '3 4 10 40'
"
java,python,atcoder_AGC046_B.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/avatar/algo_based_translation/java/python/atcoder_AGC046_B.py"", line 39, in <module>
    solver.solve(sc, pw)
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/avatar/algo_based_translation/java/python/atcoder_AGC046_B.py"", line 11, in solve
    A = int(sc.readline().strip())
        ^^^^^^^^^^^^^^^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '1 1 3000 3000'
"
