source_lang,target_lang,filename,error_type,error_details
java,python,s584135649.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/direct_translation/java/python/s584135649.py"", line 5, in <module>
    n = int(input())
        ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '0 2 3 4 5'
"
java,python,s498914558.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/direct_translation/java/python/s498914558.py"", line 5, in <module>
    m -= po[i]
         ~~^^^
IndexError: list index out of range
"
java,python,s500433274.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/direct_translation/java/python/s500433274.py"", line 5, in <module>
    a, b = map(int, line.split())
    ^^^^
ValueError: not enough values to unpack (expected 2, got 1)
"
java,python,s684030429.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/direct_translation/java/python/s684030429.py"", line 130, in <module>
    Main().solve()
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/direct_translation/java/python/s684030429.py"", line 11, in solve
    a = self.ni()
        ^^^^^^^^^
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/direct_translation/java/python/s684030429.py"", line 16, in ni
    return int(sys.stdin.readline().strip())
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '12 4'
"
java,python,s987117545.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/direct_translation/java/python/s987117545.py"", line 17, in <module>
    Main().run()
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/direct_translation/java/python/s987117545.py"", line 6, in run
    n = int(input())
        ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '3 2'
"
java,python,s201062219.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/direct_translation/java/python/s201062219.py"", line 5, in <module>
    c = int(input())
        ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '1 + 2'
"
java,python,s696692583.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/direct_translation/java/python/s696692583.py"", line 49, in <module>
    Main().run()
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/direct_translation/java/python/s696692583.py"", line 10, in run
    my1 = next(sc)
          ^^^^^^^^
ValueError: invalid literal for int() with base 10: '1 2 3'
"
java,python,s890213274.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/direct_translation/java/python/s890213274.py"", line 2, in <module>
    A1 = int(input())
         ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '5 7 9'
"
java,python,s853705214.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/direct_translation/java/python/s853705214.py"", line 3, in <module>
    nums = [int(input()) for _ in range(n)]
            ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '-10 5 -4'
"
java,python,s720527488.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/direct_translation/java/python/s720527488.py"", line 106, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/direct_translation/java/python/s720527488.py"", line 87, in main
    m = ir.next_int()
        ^^^^^^^^^^^^^
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/direct_translation/java/python/s720527488.py"", line 45, in next_int
    c = self.read_byte()
        ^^^^^^^^^^^^^^^^
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/direct_translation/java/python/s720527488.py"", line 20, in read_byte
    self.lenbuf = self.in_stream.readinto(self.buffer)
                  ^^^^^^^^^^^^^^^^^^^^^^^
AttributeError: '_io.TextIOWrapper' object has no attribute 'readinto'. Did you mean: 'readline'?
"
java,python,s910008321.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/direct_translation/java/python/s910008321.py"", line 2, in <module>
    h = int(input())
        ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '10 4'
"
java,python,s609591310.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/direct_translation/java/python/s609591310.py"", line 41, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/direct_translation/java/python/s609591310.py"", line 13, in main
    numlist1[list_nums[i] - 1] += 1
             ~~~~~~~~~^^^
IndexError: list index out of range
"
java,python,s888333881.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/direct_translation/java/python/s888333881.py"", line 558, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/direct_translation/java/python/s888333881.py"", line 107, in main
    n = sc.nexI()
        ^^^^^^^^^
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/direct_translation/java/python/s888333881.py"", line 529, in nexI
    nl = self.nexL()
         ^^^^^^^^^^^
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/direct_translation/java/python/s888333881.py"", line 509, in nexL
    if not self.hasNext():
           ^^^^^^^^^^^^^^
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/direct_translation/java/python/s888333881.py"", line 494, in hasNext
    while self.hasNextByte() and not self.isPrintableChar(self.buffer[self.ptr]):
                                     ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/direct_translation/java/python/s888333881.py"", line 491, in isPrintableChar
    return 33 <= c <= 126
           ^^^^^^^^^^^^^^
TypeError: '<=' not supported between instances of 'int' and 'str'
"
java,python,s773621585.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/direct_translation/java/python/s773621585.py"", line 11, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/direct_translation/java/python/s773621585.py"", line 7, in main
    map[input()] = """"
        ^^^^^^^
EOFError: EOF when reading a line
"
java,python,s967858671.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/direct_translation/java/python/s967858671.py"", line 6, in <module>
    Num[i] = n[i]
             ~^^^
IndexError: list index out of range
"
java,python,s943650310.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/direct_translation/java/python/s943650310.py"", line 2, in <module>
    X = int(input())
        ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '100 17'
"
java,python,s127819686.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/direct_translation/java/python/s127819686.py"", line 2, in <module>
    a = int(input())
        ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '81 58'
"
java,python,s428436430.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/direct_translation/java/python/s428436430.py"", line 24, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/direct_translation/java/python/s428436430.py"", line 10, in main
    arr.append(int(input()))
               ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '3 5 2 7'
"
java,python,s818271374.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/direct_translation/java/python/s818271374.py"", line 6, in <module>
    a = int(input())
        ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '1 10 100'
"
java,python,s699933302.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/direct_translation/java/python/s699933302.py"", line 2, in <module>
    a, b, c = int(input()), int(input()), int(input())
              ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '5 14 80'
"
java,python,s004995062.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/direct_translation/java/python/s004995062.py"", line 5, in <module>
    sb = input()
         ^^^^^^^
EOFError: EOF when reading a line
"
java,python,s998094687.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/direct_translation/java/python/s998094687.py"", line 6, in <module>
    a = [int(input()), int(input()), int(input())]
         ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '4 3 5'
"
java,python,s193347311.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/direct_translation/java/python/s193347311.py"", line 8, in <module>
    strHana = input()
              ^^^^^^^
EOFError: EOF when reading a line
"
java,python,s010698290.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/direct_translation/java/python/s010698290.py"", line 56, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/direct_translation/java/python/s010698290.py"", line 38, in main
    num = s.nextInt()
          ^^^^^^^^^^^
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/direct_translation/java/python/s010698290.py"", line 14, in nextInt
    return int(self.next())
               ^^^^^^^^^^^
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/direct_translation/java/python/s010698290.py"", line 11, in next
    return next(self.tokenizer)
           ^^^^^^^^^^^^^^^^^^^^
StopIteration
"
java,python,s387083574.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/direct_translation/java/python/s387083574.py"", line 3, in <module>
    map_dict = {i: int(input()) for i in range(1, N + 1)}
                   ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '2 3 1'
"
java,python,s476581255.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/direct_translation/java/python/s476581255.py"", line 26, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/direct_translation/java/python/s476581255.py"", line 16, in main
    a = [int(input()) for _ in range(n)]
         ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '5 3 2 4 1'
"
java,python,s657273562.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/direct_translation/java/python/s657273562.py"", line 76, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/direct_translation/java/python/s657273562.py"", line 55, in main
    arr = list(map(int, data[idx:idx + n]))
               ^^^
UnboundLocalError: cannot access local variable 'map' where it is not associated with a value
"
