source_lang,target_lang,filename,error_type,error_details
java,python,atcoder_AGC007_C.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/avatar/direct_translation/java/python/atcoder_AGC007_C.py"", line 5, in <module>
    d = Decimal(input().split()[1])
                ^^^^^^^
EOFError: EOF when reading a line
"
java,python,atcoder_ABC158_B.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/avatar/direct_translation/java/python/atcoder_ABC158_B.py"", line 3, in <module>
    N = int(input())
        ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '840783003083059124 0 327003145473120758'
"
java,python,atcoder_ABC104_C.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/avatar/direct_translation/java/python/atcoder_ABC104_C.py"", line 40, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/avatar/direct_translation/java/python/atcoder_ABC104_C.py"", line 5, in main
    D = int(input())
        ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '10 1280600'
"
java,python,codeforces_333_B.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/avatar/direct_translation/java/python/codeforces_333_B.py"", line 54, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/avatar/direct_translation/java/python/codeforces_333_B.py"", line 29, in main
    m = in_stream.next_int()
        ^^^^^^^^^^^^^^^^^^^^
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/avatar/direct_translation/java/python/codeforces_333_B.py"", line 13, in next_int
    return int(self.next())
               ^^^^^^^^^^^
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/avatar/direct_translation/java/python/codeforces_333_B.py"", line 10, in next
    return self.input_stream.readline().split()[0]
           ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~^^^
IndexError: list index out of range
"
java,python,atcoder_ABC140_F.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/avatar/direct_translation/java/python/atcoder_ABC140_F.py"", line 6, in <module>
    S = [int(input()) for _ in range(size)]
         ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '8443 8443 8443 8443 8443 280902927 8443 486981654 8443 827851807 8443 8443 732460141 8443 8443 490580693 263596475 350127941 8443 8443 8443 8443 8443 8443 8443 8443 8443 370250195 8443 8443 8443 8443
"
java,python,atcoder_ABC150_D.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/avatar/direct_translation/java/python/atcoder_ABC150_D.py"", line 27, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/avatar/direct_translation/java/python/atcoder_ABC150_D.py"", line 12, in main
    a = [int(input()) // 2 for _ in range(n)]
         ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '2 6 26 26 38 46 78 130 286 390 494 494 570 690 874 1014 1254 1254 1430 1482 1690 2990 3174 3174 3718 4370 5070 5070 6422 11362 13754 15870 16302 18590 19266 34914 38870 41262 60306 85514 100510 14421
"
java,python,atcoder_ABC123_D.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/avatar/direct_translation/java/python/atcoder_ABC123_D.py"", line 7, in <module>
    x[i] = int(input())
           ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '2 2 2 8\n'
"
java,python,atcoder_ABC125_A.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/avatar/direct_translation/java/python/atcoder_ABC125_A.py"", line 2, in <module>
    sec = int(input())
          ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '3 2 9'
"
java,python,atcoder_AGC017_A.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/avatar/direct_translation/java/python/atcoder_AGC017_A.py"", line 34, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/avatar/direct_translation/java/python/atcoder_AGC017_A.py"", line 13, in main
    n = int(input())
        ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '16 1'
"
java,python,codeforces_534_B.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/avatar/direct_translation/java/python/codeforces_534_B.py"", line 26, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/avatar/direct_translation/java/python/codeforces_534_B.py"", line 5, in main
    v1, v2, t, d = map(int, sys.stdin.readline().split())
    ^^^^^^^^^^^^
ValueError: not enough values to unpack (expected 4, got 2)
"
java,python,codeforces_265_B.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/avatar/direct_translation/java/python/codeforces_265_B.py"", line 7, in <module>
    ans += abs(arr[i] - arr[i - 1]) + 2
               ~~~^^^
IndexError: list index out of range
"
java,python,atcoder_AGC019_A.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/avatar/direct_translation/java/python/atcoder_AGC019_A.py"", line 3, in <module>
    Q, H, S, D, N = map(int, input().split())
    ^^^^^^^^^^^^^
ValueError: not enough values to unpack (expected 5, got 4)
"
java,python,atcoder_ABC169_C.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/avatar/direct_translation/java/python/atcoder_ABC169_C.py"", line 2, in <module>
    a = int(input())
        ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '0 9.98'
"
