source_lang,target_lang,filename,error_type,error_details
java,python,s609591310.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/codenet/algo_based_translation/java/python/s609591310.py"", line 39, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/codenet/algo_based_translation/java/python/s609591310.py"", line 34, in main
    list = list(map(int, sys.stdin.readline().strip().split()))
           ^^^^
UnboundLocalError: cannot access local variable 'list' where it is not associated with a value
"
java,python,s505375619.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/codenet/algo_based_translation/java/python/s505375619.py"", line 28, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/codenet/algo_based_translation/java/python/s505375619.py"", line 11, in main
    v[i] = int(sys.stdin.readline().strip())
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '10 2 5'
"
java,python,s918182055.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/codenet/algo_based_translation/java/python/s918182055.py"", line 82, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/codenet/algo_based_translation/java/python/s918182055.py"", line 60, in main
    N = sc.next_int()
        ^^^^^^^^^^^^^
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/codenet/algo_based_translation/java/python/s918182055.py"", line 38, in next_int
    return int(self.next())
               ^^^^^^^^^^^
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/codenet/algo_based_translation/java/python/s918182055.py"", line 26, in next
    c = self.read_byte()
        ^^^^^^^^^^^^^^^^
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/codenet/algo_based_translation/java/python/s918182055.py"", line 14, in read_byte
    self.buffer = bytearray(self.stream.read(8192))
                  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
TypeError: string argument without an encoding
"
java,python,s893190600.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/codenet/algo_based_translation/java/python/s893190600.py"", line 42, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/codenet/algo_based_translation/java/python/s893190600.py"", line 39, in main
    solver.solve()
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/codenet/algo_based_translation/java/python/s893190600.py"", line 20, in solve
    H = self.in_stream.next_int()
        ^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/codenet/algo_based_translation/java/python/s893190600.py"", line 9, in next_int
    return int(self.input_stream.readline().strip())
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '3 3'
"
java,python,s682242794.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/codenet/algo_based_translation/java/python/s682242794.py"", line 22, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/codenet/algo_based_translation/java/python/s682242794.py"", line 19, in main
    obj.solve()
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/codenet/algo_based_translation/java/python/s682242794.py"", line 12, in solve
    self.high = int(sys.stdin.readline().strip())
                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '30 19'
"
java,python,s012761786.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/codenet/algo_based_translation/java/python/s012761786.py"", line 63, in <module>
    main.main()
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/codenet/algo_based_translation/java/python/s012761786.py"", line 42, in main
    n = self.next_long()
        ^^^^^^^^^^^^^^^^
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/codenet/algo_based_translation/java/python/s012761786.py"", line 15, in next_long
    return int(self.next())
           ^^^^^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '5 2 4'
"
java,python,s332475184.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/codenet/algo_based_translation/java/python/s332475184.py"", line 112, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/codenet/algo_based_translation/java/python/s332475184.py"", line 109, in main
    Main().solve()
    ^^^^^^
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/codenet/algo_based_translation/java/python/s332475184.py"", line 81, in __init__
    self.n = self.fs.next_int()
             ^^^^^^^^^^^^^^^^^^
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/codenet/algo_based_translation/java/python/s332475184.py"", line 70, in next_int
    nl = self.next_long()
         ^^^^^^^^^^^^^^^^
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/codenet/algo_based_translation/java/python/s332475184.py"", line 50, in next_long
    if not self.has_next():
           ^^^^^^^^^^^^^^^
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/codenet/algo_based_translation/java/python/s332475184.py"", line 35, in has_next
    while self._has_next_byte() and not self._is_printable_char(self.buffer[self.ptr]):
          ^^^^^^^^^^^^^^^^^^^^^
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/codenet/algo_based_translation/java/python/s332475184.py"", line 17, in _has_next_byte
    self.buffer = bytearray(self.input_stream.read(1024))
                  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
TypeError: string argument without an encoding
"
java,python,s387083574.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/codenet/algo_based_translation/java/python/s387083574.py"", line 13, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/codenet/algo_based_translation/java/python/s387083574.py"", line 8, in main
    map[i] = int(sys.stdin.readline().strip())
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '2 3 1'
"
java,python,s965025950.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/codenet/algo_based_translation/java/python/s965025950.py"", line 12, in <module>
    Main().main()
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/codenet/algo_based_translation/java/python/s965025950.py"", line 6, in main
    x = int(sys.stdin.readline().strip())
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '1 2 3'
"
java,python,s416486483.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/codenet/algo_based_translation/java/python/s416486483.py"", line 38, in <module>
    Main.main()
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/codenet/algo_based_translation/java/python/s416486483.py"", line 34, in main
    nl, sl = map(int, sys.stdin.readline().split())
    ^^^^^^
ValueError: not enough values to unpack (expected 2, got 1)
"
