source_lang,target_lang,filename,error_type,error_details
java,python,s523386612.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/codenet/direct_translation/java/python/s523386612.py"", line 5, in <module>
    count[int(input())] += 1
          ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '1 1 2 2'
"
java,python,s584572995.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/codenet/direct_translation/java/python/s584572995.py"", line 103, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/codenet/direct_translation/java/python/s584572995.py"", line 70, in main
    N = int(input())
            ^^^^^^^
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/codenet/direct_translation/java/python/s584572995.py"", line 48, in <lambda>
    input = lambda: sys.stdin.readline().rstrip('\r\n')
                    ^^^^^^^^^^^^^^^^^^^^
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/codenet/direct_translation/java/python/s584572995.py"", line 45, in <lambda>
    self.readline = lambda: self.buffer.readline().decode('ascii')
                            ^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/codenet/direct_translation/java/python/s584572995.py"", line 26, in readline
    b = os.read(self._fd, max(os.fstat(self._fd).st_size, 8192))
        ^^
NameError: name 'os' is not defined. Did you forget to import 'os'?
Exception ignored in: <__main__.IOWrapper object at 0x7e530cd32f60>
Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/codenet/direct_translation/java/python/s584572995.py"", line 35, in flush
    os.write(self._fd, self.buffer)
    ^^
NameError: name 'os' is not defined
"
java,python,s584135649.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/codenet/direct_translation/java/python/s584135649.py"", line 4, in <module>
    n = int(input())
        ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '0 2 3 4 5'
"
java,python,s937747608.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/codenet/direct_translation/java/python/s937747608.py"", line 2, in <module>
    a = int(input())
        ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '3 5 2 7'
"
java,python,s699933302.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/codenet/direct_translation/java/python/s699933302.py"", line 2, in <module>
    a = int(input())
        ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '5 14 80'
"
java,python,s325080396.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/codenet/direct_translation/java/python/s325080396.py"", line 7, in <module>
    maxv = R[1] - R[0]
           ~^^^
IndexError: list index out of range
"
java,python,s824230885.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/codenet/direct_translation/java/python/s824230885.py"", line 34, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/codenet/direct_translation/java/python/s824230885.py"", line 23, in main
    list = list(map(int, input[input_index].split()))
           ^^^^
UnboundLocalError: cannot access local variable 'list' where it is not associated with a value
"
java,python,s505375619.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/codenet/direct_translation/java/python/s505375619.py"", line 25, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/codenet/direct_translation/java/python/s505375619.py"", line 11, in main
    v[i] = int(sys.stdin.readline().strip())
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '10 2 5'
"
java,python,s965025950.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/codenet/direct_translation/java/python/s965025950.py"", line 2, in <module>
    x = int(input())
        ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '1 2 3'
"
java,python,s126744620.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/codenet/direct_translation/java/python/s126744620.py"", line 5, in <module>
    a = list(map(int, input().split())) if n == 1 else list(map(int, ' '.join([input() for _ in range(n)]).split()))
                                                                               ^^^^^^^
EOFError: EOF when reading a line
"
