source_lang,target_lang,filename,error_type,error_details
python,java,s759499751.java,Runtime Error,"Error: Exception in thread ""main"" java.util.NoSuchElementException
	at java.base/java.util.Scanner.throwFor(Scanner.java:962)
	at java.base/java.util.Scanner.next(Scanner.java:1619)
	at java.base/java.util.Scanner.nextInt(Scanner.java:2284)
	at java.base/java.util.Scanner.nextInt(Scanner.java:2238)
	at s759499751.countPairs(s759499751.java:16)
	at s759499751.main(s759499751.java:29)
"
python,java,s694958625.java,Runtime Error,"Error: Exception in thread ""main"" java.util.NoSuchElementException
	at java.base/java.util.Scanner.throwFor(Scanner.java:962)
	at java.base/java.util.Scanner.next(Scanner.java:1619)
	at java.base/java.util.Scanner.nextInt(Scanner.java:2284)
	at java.base/java.util.Scanner.nextInt(Scanner.java:2238)
	at s694958625.readIntegerInput(s694958625.java:15)
	at s694958625.main(s694958625.java:7)
"
python,java,s908812767.java,Runtime Error,"Error: Exception in thread ""main"" java.lang.StackOverflowError
	at java.base/java.util.HashMap.hash(HashMap.java:338)
	at java.base/java.util.HashMap.getNode(HashMap.java:577)
	at java.base/java.util.HashMap.getOrDefault(HashMap.java:1148)
	at s908812767.dfs(s908812767.java:10)
	at s908812767.dfs(s908812767.java:26)
	at s908812767.dfs(s908812767.java:26)
	at s908812767.dfs(s908812767.java:26)
	at s908812767.dfs(s908812767.java:26)
	at s908812767.dfs(s908812767.java:26)
	at s908812767.dfs(s908812767.java:26)
	at s908812767.dfs(s908812767.java:26)
	at s908812767.dfs(s908812767.java:26)
	at s908812767.dfs(s908812767.java:26)
	at s908812767.dfs(s908812767.java:26)
	at s908812767.dfs(s908812767.java:26)
	at s908812767.dfs(s908812767.java:26)
	at s908812767.dfs(s908812767.java:26)
	at s908812767.dfs(s908812767.java:26)
	at s908812767.dfs(s908812767.java:26)
	at s908812767.dfs(s908812767.java:26)
	at s908812767.dfs(s908812767.java:26)
	at s908812767.dfs(s908812767.java:26)
	at s908812767.dfs(s908812767.java:26)
	at s908812767.dfs(s908812767.java:26)
	at s908812767.dfs(s908812767.java:26)
	at s908812767.dfs(s908812767.java:26)
	at s908812767.dfs(s908812767.java:26)
	at s908812767.dfs(s908812767.java:26)
	at s908812767.dfs(s908812767.java:26)
	at s908812767.dfs(s908812767.java:26)
	at s908812767.dfs(s908812767.java:26)
	at s908812767.dfs(s908812767.java:26)
	at s908812767.dfs(s908812767.java:26)
	at s908812767.dfs(s908812767.java:26)
	at s908812767.dfs(s908812767.java:26)
	at s908812767.dfs(s908812767.java:26)
	at s908812767.dfs(s908812767.java:26)
	at s908812767.dfs(s908812767.java:26)
	at s908812767.dfs(s908812767.java:26)
	at s908812767.dfs(s908812767.java:26)
	at s908812767.dfs(s908812767.java:26)
	at s908812767.dfs(s908812767.java:26)
	at s908812767.dfs(s908812767.java:26)
	at s908812767.dfs(s908812767.java:26)
	at s908812767.dfs(s908812767.java:26)
	at s908812767.dfs(s908812767.java:26)
	at s908812767.dfs(s908812767.java:26)
	at s908812767.dfs(s908812767.java:26)
	at s908812767.dfs(s908812767.java:26)
	at s908812767.dfs(s908812767.java:26)
	at s908812767.dfs(s908812767.java:26)
	at s908812767.dfs(s908812767.java:26)
