source_lang,target_lang,filename,error_type,error_details
python,java,s666154520.java,Runtime Error,"Error: Error: Could not find or load main class s666154520
Caused by: java.lang.ClassNotFoundException: s666154520
"
python,java,s575946485.java,Runtime Error,"Error: Error: Could not find or load main class s575946485
Caused by: java.lang.ClassNotFoundException: s575946485
"
python,java,s344468705.java,Runtime Error,"Error: Error: Could not find or load main class s344468705
Caused by: java.lang.ClassNotFoundException: s344468705
"
python,java,s028530838.java,Runtime Error,"Error: Error: Could not find or load main class s028530838
Caused by: java.lang.ClassNotFoundException: s028530838
"
python,java,s831456551.java,Runtime Error,"Error: Error: Could not find or load main class s831456551
Caused by: java.lang.ClassNotFoundException: s831456551
"
python,java,s485638370.java,Runtime Error,"Error: Error: Could not find or load main class s485638370
Caused by: java.lang.ClassNotFoundException: s485638370
"
python,java,s952876397.java,Runtime Error,"Error: Error: Could not find or load main class s952876397
Caused by: java.lang.ClassNotFoundException: s952876397
"
python,java,s616346400.java,Runtime Error,"Error: Error: Could not find or load main class s616346400
Caused by: java.lang.ClassNotFoundException: s616346400
"
python,java,s993625131.java,Runtime Error,"Error: Error: Could not find or load main class s993625131
Caused by: java.lang.ClassNotFoundException: s993625131
"
python,java,s668439281.java,Runtime Error,"Error: Error: Could not find or load main class s668439281
Caused by: java.lang.ClassNotFoundException: s668439281
"
python,java,s534639230.java,Runtime Error,"Error: Error: Could not find or load main class s534639230
Caused by: java.lang.ClassNotFoundException: s534639230
"
python,java,s491954463.java,Runtime Error,"Error: Error: Could not find or load main class s491954463
Caused by: java.lang.ClassNotFoundException: s491954463
"
python,java,s592421258.java,Runtime Error,"Error: Exception in thread ""main"" java.util.NoSuchElementException
	at java.base/java.util.Scanner.throwFor(Scanner.java:962)
	at java.base/java.util.Scanner.next(Scanner.java:1503)
	at s592421258.main(s592421258.java:7)
"
