source_lang,target_lang,filename,error_type,error_details
java,python,atcoder_ABC122_C.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/qwen_2.5_72b_instruct/avatar/algo_based_translation/java/python/atcoder_ABC122_C.py"", line 33, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/qwen_2.5_72b_instruct/avatar/algo_based_translation/java/python/atcoder_ABC122_C.py"", line 15, in main
    range = [[0 for _ in range(2)] for _ in range(q)]
                                            ^^^^^
UnboundLocalError: cannot access local variable 'range' where it is not associated with a value
"
java,python,codeforces_400_B.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/qwen_2.5_72b_instruct/avatar/algo_based_translation/java/python/codeforces_400_B.py"", line 2, in <module>
    from collections import HashSet
ImportError: cannot import name 'HashSet' from 'collections' (/usr/lib/python3.12/collections/__init__.py)
"
java,python,atcoder_AGC004_D.py,Runtime Error,"Test Index: 0 Error: Exception in thread Thread-1 (run):
Traceback (most recent call last):
  File ""/usr/lib/python3.12/threading.py"", line 1073, in _bootstrap_inner
    self.run()
  File ""/usr/lib/python3.12/threading.py"", line 1010, in run
    self._target(*self._args, **self._kwargs)
  File ""/home/sxa510/research/code/llm-code-translation/output/qwen_2.5_72b_instruct/avatar/algo_based_translation/java/python/atcoder_AGC004_D.py"", line 12, in run
    print(calculator.calculate())
          ^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/sxa510/research/code/llm-code-translation/output/qwen_2.5_72b_instruct/avatar/algo_based_translation/java/python/atcoder_AGC004_D.py"", line 29, in calculate
    self.dfs(0, 0)
  File ""/home/sxa510/research/code/llm-code-translation/output/qwen_2.5_72b_instruct/avatar/algo_based_translation/java/python/atcoder_AGC004_D.py"", line 36, in dfs
    h = max(h, self.dfs(i, a))
               ^^^^^^^^^^^^^^
  File ""/home/sxa510/research/code/llm-code-translation/output/qwen_2.5_72b_instruct/avatar/algo_based_translation/java/python/atcoder_AGC004_D.py"", line 36, in dfs
    h = max(h, self.dfs(i, a))
               ^^^^^^^^^^^^^^
  File ""/home/sxa510/research/code/llm-code-translation/output/qwen_2.5_72b_instruct/avatar/algo_based_translation/java/python/atcoder_AGC004_D.py"", line 36, in dfs
    h = max(h, self.dfs(i, a))
               ^^^^^^^^^^^^^^
  [Previous line repeated 992 more times]
RecursionError: maximum recursion depth exceeded
"
java,python,atcoder_ABC134_E.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/qwen_2.5_72b_instruct/avatar/algo_based_translation/java/python/atcoder_ABC134_E.py"", line 2, in <module>
    from sortedcontainers import SortedDict
ModuleNotFoundError: No module named 'sortedcontainers'
"
java,python,atcoder_ABC104_C.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/qwen_2.5_72b_instruct/avatar/algo_based_translation/java/python/atcoder_ABC104_C.py"", line 45, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/qwen_2.5_72b_instruct/avatar/algo_based_translation/java/python/atcoder_ABC104_C.py"", line 9, in main
    D = int(sc.readline())
        ^^^^^^^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '10 1280600\n'
"
java,python,atcoder_ABC148_F.py,Runtime Error,"Test Index: 3 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/qwen_2.5_72b_instruct/avatar/algo_based_translation/java/python/atcoder_ABC148_F.py"", line 48, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/qwen_2.5_72b_instruct/avatar/algo_based_translation/java/python/atcoder_ABC148_F.py"", line 31, in main
    dfs(u, d, edges)
  File ""/home/sxa510/research/code/llm-code-translation/output/qwen_2.5_72b_instruct/avatar/algo_based_translation/java/python/atcoder_ABC148_F.py"", line 9, in dfs
    dfs(nu, d, edges)
  File ""/home/sxa510/research/code/llm-code-translation/output/qwen_2.5_72b_instruct/avatar/algo_based_translation/java/python/atcoder_ABC148_F.py"", line 9, in dfs
    dfs(nu, d, edges)
  File ""/home/sxa510/research/code/llm-code-translation/output/qwen_2.5_72b_instruct/avatar/algo_based_translation/java/python/atcoder_ABC148_F.py"", line 9, in dfs
    dfs(nu, d, edges)
  [Previous line repeated 995 more times]
RecursionError: maximum recursion depth exceeded
"
java,python,atcoder_ABC125_A.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/qwen_2.5_72b_instruct/avatar/algo_based_translation/java/python/atcoder_ABC125_A.py"", line 18, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/qwen_2.5_72b_instruct/avatar/algo_based_translation/java/python/atcoder_ABC125_A.py"", line 7, in main
    sec = int(sys.stdin.readline().strip())
          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '3 2 9'
"
java,python,codeforces_637_A.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/qwen_2.5_72b_instruct/avatar/algo_based_translation/java/python/codeforces_637_A.py"", line 31, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/qwen_2.5_72b_instruct/avatar/algo_based_translation/java/python/codeforces_637_A.py"", line 9, in main
    ara = list(map(int, input[1:n+1]))
               ^^^
UnboundLocalError: cannot access local variable 'map' where it is not associated with a value
"
java,python,codeforces_313_B.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/qwen_2.5_72b_instruct/avatar/algo_based_translation/java/python/codeforces_313_B.py"", line 26, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/qwen_2.5_72b_instruct/avatar/algo_based_translation/java/python/codeforces_313_B.py"", line 22, in main
    f.sol(br, pw)
  File ""/home/sxa510/research/code/llm-code-translation/output/qwen_2.5_72b_instruct/avatar/algo_based_translation/java/python/codeforces_313_B.py"", line 6, in sol
    s = br.readline().strip()
        ^^^^^^^^^^^^^
AttributeError: '_io.TextIOWrapper' object has no attribute 'readinto'. Did you mean: 'readline'?
"
java,python,atcoder_ABC132_F.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/qwen_2.5_72b_instruct/avatar/algo_based_translation/java/python/atcoder_ABC132_F.py"", line 27, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/qwen_2.5_72b_instruct/avatar/algo_based_translation/java/python/atcoder_ABC132_F.py"", line 16, in main
    q = len(len)
        ^^^^^^^^
TypeError: 'list' object is not callable
"
