source_lang,target_lang,filename,error_type,error_details
java,python,s498914558.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/qwen_2.5_72b_instruct/codenet/algo_based_translation/java/python/s498914558.py"", line 21, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/qwen_2.5_72b_instruct/codenet/algo_based_translation/java/python/s498914558.py"", line 8, in main
    n = int(input().strip())
        ^^^^^^^^^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '3 1000'
"
java,python,s456888268.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/qwen_2.5_72b_instruct/codenet/algo_based_translation/java/python/s456888268.py"", line 142, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/qwen_2.5_72b_instruct/codenet/algo_based_translation/java/python/s456888268.py"", line 139, in main
    solve()
  File ""/home/sxa510/research/code/llm-code-translation/output/qwen_2.5_72b_instruct/codenet/algo_based_translation/java/python/s456888268.py"", line 5, in solve
    tmp = ns()
          ^^^^
  File ""/home/sxa510/research/code/llm-code-translation/output/qwen_2.5_72b_instruct/codenet/algo_based_translation/java/python/s456888268.py"", line 113, in ns
    b = skip()
        ^^^^^^
  File ""/home/sxa510/research/code/llm-code-translation/output/qwen_2.5_72b_instruct/codenet/algo_based_translation/java/python/s456888268.py"", line 107, in skip
    b = read_byte()
        ^^^^^^^^^^^
  File ""/home/sxa510/research/code/llm-code-translation/output/qwen_2.5_72b_instruct/codenet/algo_based_translation/java/python/s456888268.py"", line 90, in read_byte
    if lenbuf == -1:
       ^^^^^^
NameError: name 'lenbuf' is not defined
"
java,python,s682242794.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/qwen_2.5_72b_instruct/codenet/algo_based_translation/java/python/s682242794.py"", line 13, in <module>
    obj.solve()
  File ""/home/sxa510/research/code/llm-code-translation/output/qwen_2.5_72b_instruct/codenet/algo_based_translation/java/python/s682242794.py"", line 6, in solve
    high = int(sys.stdin.readline().strip())
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '30 19'
"
java,python,s523386612.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/qwen_2.5_72b_instruct/codenet/algo_based_translation/java/python/s523386612.py"", line 18, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/qwen_2.5_72b_instruct/codenet/algo_based_translation/java/python/s523386612.py"", line 11, in main
    index = int(sys.stdin.readline().strip())
            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '1 1 2 2'
"
java,python,s193347311.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/qwen_2.5_72b_instruct/codenet/algo_based_translation/java/python/s193347311.py"", line 30, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/qwen_2.5_72b_instruct/codenet/algo_based_translation/java/python/s193347311.py"", line 17, in main
    strHana = next(input).strip()
              ^^^^^^^^^^^
  File ""/usr/lib/python3.12/fileinput.py"", line 256, in __next__
    raise StopIteration
StopIteration
"
java,python,s428436430.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/qwen_2.5_72b_instruct/codenet/algo_based_translation/java/python/s428436430.py"", line 28, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/qwen_2.5_72b_instruct/codenet/algo_based_translation/java/python/s428436430.py"", line 14, in main
    arr.append(int(sc.readline().strip()))
               ^^^^^^^^^^^^^^^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '3 5 2 7'
"
java,python,s316260310.py,Runtime Error,"Error: invalid literal for int() with base 10: ''
"
java,python,s566905615.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/qwen_2.5_72b_instruct/codenet/algo_based_translation/java/python/s566905615.py"", line 16, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/qwen_2.5_72b_instruct/codenet/algo_based_translation/java/python/s566905615.py"", line 7, in main
    a = int(sys.stdin.readline().strip())
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '50 100 120'
"
java,python,s453440639.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/qwen_2.5_72b_instruct/codenet/algo_based_translation/java/python/s453440639.py"", line 41, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/qwen_2.5_72b_instruct/codenet/algo_based_translation/java/python/s453440639.py"", line 12, in main
    H = int(input[index])
        ^^^^^^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '3 5'
"
java,python,s973587235.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/qwen_2.5_72b_instruct/codenet/algo_based_translation/java/python/s973587235.py"", line 21, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/qwen_2.5_72b_instruct/codenet/algo_based_translation/java/python/s973587235.py"", line 6, in main
    minN = int(sys.stdin.readline().strip()) - 1
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '1 2 1 1 3'
"
