source_lang,target_lang,filename,error_type,error_details
java,python,s022285498.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/qwen_2.5_72b_instruct/codenet/direct_translation/java/python/s022285498.py"", line 25, in <module>
    threading.Thread(target=solve, stack_size=1 << 26).start()
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
TypeError: Thread.__init__() got an unexpected keyword argument 'stack_size'
"
java,python,s798589501.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/qwen_2.5_72b_instruct/codenet/direct_translation/java/python/s798589501.py"", line 2, in <module>
    E = int(input())
        ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '0 2015'
"
java,python,s004995062.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/qwen_2.5_72b_instruct/codenet/direct_translation/java/python/s004995062.py"", line 4, in <module>
    sb = sys.stdin.read().split()[1]
         ~~~~~~~~~~~~~~~~~~~~~~~~^^^
IndexError: list index out of range
"
java,python,s575985145.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/qwen_2.5_72b_instruct/codenet/direct_translation/java/python/s575985145.py"", line 7, in <module>
    id = int(input()) - 1
         ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '1 2 2 4'
"
java,python,s725559666.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/qwen_2.5_72b_instruct/codenet/direct_translation/java/python/s725559666.py"", line 2, in <module>
    a = int(input())
        ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '1 3 8'
"
java,python,s858314534.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/qwen_2.5_72b_instruct/codenet/direct_translation/java/python/s858314534.py"", line 6, in <module>
    A = int(sys.stdin.readline())
        ^^^^^^^^^^^^^^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '3 5 7\n'
"
java,python,s127819686.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/qwen_2.5_72b_instruct/codenet/direct_translation/java/python/s127819686.py"", line 2, in <module>
    a = int(input())
        ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '81 58'
"
java,python,s514557145.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/qwen_2.5_72b_instruct/codenet/direct_translation/java/python/s514557145.py"", line 194, in <module>
    Q = InputReader(sys.stdin).nextInt()
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/sxa510/research/code/llm-code-translation/output/qwen_2.5_72b_instruct/codenet/direct_translation/java/python/s514557145.py"", line 183, in nextInt
    return int(self.next())
               ^^^^^^^^^^^
  File ""/home/sxa510/research/code/llm-code-translation/output/qwen_2.5_72b_instruct/codenet/direct_translation/java/python/s514557145.py"", line 179, in next
    raise StopIteration
StopIteration
"
java,python,s321983475.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/qwen_2.5_72b_instruct/codenet/direct_translation/java/python/s321983475.py"", line 4, in <module>
    w = int(sys.stdin.readline())
        ^^^^^^^^^^^^^^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '3 2 6\n'
"
java,python,s943650310.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/qwen_2.5_72b_instruct/codenet/direct_translation/java/python/s943650310.py"", line 2, in <module>
    X = int(input())
        ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '100 17'
"
